emis,name,province,district,circuit,phase,sector,phone,street_address,town_city,email,quintile
200500039,AD TSHAYINGCA SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,,"140 Hope Street,Bizana,Mbizana,4800",BIZANA,,Q3
200501602,ARISE AND SHINE KINGDOM PRIMARY,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Independent,063 124 6381,"Lot 2 Erf 313 Highland A/A,Bizana,Bizana,4800",BIZANA,,
200500013,BALENI  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,083 755 6484,"Amadiba A/A,Baleni Location,Bizana,4800",BIZANA,,Q1
200500012,BALENI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 411 5609,"Amadiba A/A,Baleni Location,Bizana,4800",BIZANA,,Q1
200500023,BEKAMEVA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,078 835 0568,"Isikelo A/A,Bizana,Bizana,4800",BIZANA,,Q2
200500024,BEKELA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 540 6823,"Umgungundlovu A/A,Bekela Location ,Bizana,4295",PORT EDWARD,,Q1
200500315,BHOVULENGWE  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,073 484 7172,"AMAMPISI A/A, MBIZANA, 4801",MBIZANA,,Q1
200501613,BILLY TECHNICAL SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,,,,,
200501601,BIZANA CHRISTIAN ACADEMY,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Independent,063 353 2148,"Amangutyana A/A,Ngcingo Location,Bizana,4800",,,
200500041,BIZANA VILLAGE  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,039 251 0384,"Erf 762,Near St Patrick'S Hospital,Bizana,4800",BIZANA,,Q3
200500048,BOKUVENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,079 772 3672,"Bokuveni A/A,Bokuveni Location,Bizana,4810",FLAGSTAFF,,Q1
200500052,BONDA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 549 7458,"Amantshangase A/A,Bonda Location,Bizana,4800",KOKSTAD,,Q1
200500071,BUTTVILLE JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,083 928 4289,"Buttville A/A,Buttville Location,Flagstaff,4810",FLAGSTAFF,,Q1
200500080,CAMAGU  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,078 452 4314,"Ndakeni A/A,Flagstaff,Flagstaff,4810",FLAGSTAFF,,Q1
200501456,CANGCI COMPREHENSIVE TECHNICAL HIGH SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,082 597 7769,"Amampisi A/A,Mpisi Location,Bizana,4800",BIZANA,,Q1
200501404,CHIEF DUMILE  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,,"Amandela A/A,Amandela Location,Bizana,4800",BIZANA,,Q1
200500093,CLARKVILLE JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,078 996 6300,"Isikelo A/A,Clarkville Location,Bizana,4800",BIZANA,,Q1
200500102,CRITCHLOW  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,,"Amangutyana A/A,Mlomekhuba Location,Bizana,4800",BIZANA,,Q1
200500103,CWAKA PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,076 823 8936,"Hlolweni A/A,Dangeni Location,Bizana,4800",BIZANA,,Q1
